,acousticness,artists,danceability,duration_ms,energy,instrumentalness,liveness,loudness,name,popularity,speechiness,tempo,valence,year
0,0.932,"['George Enescu', 'Isaac Stern']",0.26,529533,0.215,0.12,0.1159999999999999,-15.489,Violin Sonata No. 3,0,0.0377,99.137,0.0392,1949
1,0.0244,['Bad Religion'],0.184,141093,0.83,0.0,0.3979999999999999,-4.144,White Trash (Second Generation),27,0.0393,132.112,0.6920000000000001,1982
2,0.184,['Hollywood Session Group'],0.752,223791,0.727,0.00011,0.0645,-9.434,Hole In The Head,0,0.0339,125.032,0.905,2010
3,0.1989999999999999,['Sam & Bill'],0.6459999999999999,167840,0.426,0.0,0.205,-8.861,For Your Love,13,0.0314,97.527,0.722,1965
4,0.192,['The Proclaimers'],0.578,242667,0.624,0.0,0.149,-13.179,Letter from America - Band Version,46,0.0465,113.289,0.5329999999999999,1987
5,0.748,['Elvis Presley'],0.494,119707,0.847,0.0,0.183,-9.243,Make Me Know It,30,0.0396,93.303,0.965,1960
6,0.2239999999999999,['Air'],0.447,154293,0.675,0.141,0.0779,-7.297999999999999,Remember,31,0.035,116.763,0.2769999999999999,1998
7,0.991,"['Johann Sebastian Bach', 'Glenn Gould']",0.2739999999999999,130493,0.138,0.8959999999999999,0.135,-26.948,Goldberg Variations,22,0.0392,95.265,0.4539999999999999,1956
8,0.926,"['Stan Getz', 'Luiz Bonfá', 'Maria Toledo']",0.5529999999999999,248560,0.209,0.00214,0.107,-17.209,Menina Flor,33,0.036,111.519,0.552,1963
9,0.905,['Lester Young'],0.508,606027,0.267,0.00955,0.123,-12.528,I Didn't Know What Time It Was,19,0.0402,130.99,0.495,1956
10,0.987,"['Alan Hawkshaw', 'Brian Bennett']",0.316,236867,0.124,0.926,0.103,-28.143,Mermaid,40,0.0337,80.669,0.4589999999999999,1974
11,0.944,"['Wolfgang Amadeus Mozart', 'Budapest String Quartet']",0.353,370667,0.108,0.0108,0.13,-19.291,Quartet No.17 in B-Flat Major for Strings,0,0.0412,92.547,0.298,1948
12,0.905,['Selah'],0.241,222840,0.0534,1.26e-06,0.152,-16.291,His Eye Is On The Sparrow,35,0.0332,145.095,0.128,1998
13,0.4429999999999999,"['Fred Waring', 'The Pennsylvanians']",0.575,179800,0.516,0.0,0.276,-10.525,Ring Those Christmas Bells,35,0.031,106.12,0.645,1959
15,0.982,"['Giacomo Puccini', 'Victor de Sabata', 'Orchestra Del Teatro Alla Scala, Milano']",0.292,126760,0.0611,0.657,0.2269999999999999,-19.416,"Puccini Tosca, Act 1 Scene 1",0,0.0492,131.855,0.0779,1953
16,0.948,['Grant Green'],0.465,526253,0.439,0.012,0.163,-12.191,I Wish You Love - Rudy Van Gelder Edition  Remastered 2009,17,0.0569,92.293,0.59,1964
17,0.868,['Pete Seeger'],0.745,49027,0.119,0.0,0.252,-26.971,Double Thumbing,1,0.8740000000000001,80.877,0.637,1954
18,0.0418,['Jake Owen'],0.475,209587,0.936,0.0,0.0873,-2.545,Anywhere With You,56,0.0413,151.988,0.598,2011
19,0.892,"['Andrew Lloyd Webber', 'Phantom Of The Opera Original London Cast', 'Steve Barton', 'Sarah Brightman']",0.445,191373,0.18,0.000373,0.193,-19.111,Why Have You Brought Me Here,32,0.0631,78.337,0.0742,1987
20,0.973,"['Giuseppe Verdi', 'Inge Borkh', 'Wiener Philharmoniker', 'Rudolf Moralt']",0.34,347827,0.177,6.43e-05,0.1159999999999999,-18.492,La forza del destino  Act 2,0,0.053,101.937,0.0395,1951
